title;link
The da Vinci Code (Robert Langdon, #2);www.goodreads.com/book/show/968.The_da_Vinci_Code
Great Expectations;www.goodreads.com/book/show/2623.Great_Expectations
The Hiding Place: The Triumphant True Story of Corrie Ten Boom;www.goodreads.com/book/show/561909.The_Hiding_Place
The Good Earth (House of Earth, #1);www.goodreads.com/book/show/1078.The_Good_Earth
Dracula;www.goodreads.com/book/show/17245.Dracula
A Story of Yesterday;www.goodreads.com/book/show/58913358-a-story-of-yesterday
The Fault in Our Stars;www.goodreads.com/book/show/11870085-the-fault-in-our-stars
Matilda;www.goodreads.com/book/show/39988.Matilda
The Perks of Being a Wallflower;www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
Sense and Sensibility;www.goodreads.com/book/show/14935.Sense_and_Sensibility
The Princess Bride;www.goodreads.com/book/show/21787.The_Princess_Bride
The Iliad;www.goodreads.com/book/show/1371.The_Iliad
The Girl with the Dragon Tattoo (Millennium, #1);www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
East of Eden;www.goodreads.com/book/show/4406.East_of_Eden
Where the Red Fern Grows;www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows
Man’s Search for Meaning;www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
The Tell-Tale Heart and Other Writings;www.goodreads.com/book/show/391729.The_Tell_Tale_Heart_and_Other_Writings
Catching Fire (The Hunger Games, #2);www.goodreads.com/book/show/6148028-catching-fire
The Lorax;www.goodreads.com/book/show/7784.The_Lorax
The Curious Incident of the Dog in the Night-Time;www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
The Declaration of Independence / The Constitution of the United States;www.goodreads.com/book/show/285500.The_Declaration_of_Independence_The_Constitution_of_the_United_States
Watership Down (Watership Down, #1);www.goodreads.com/book/show/76620.Watership_Down
Rebecca;www.goodreads.com/book/show/17899948-rebecca
The Bell Jar;www.goodreads.com/book/show/6514.The_Bell_Jar
Charlie and the Chocolate Factory (Charlie Bucket, #1);www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory
And Then There Were None;www.goodreads.com/book/show/16299.And_Then_There_Were_None
The Last Lecture;www.goodreads.com/book/show/2318271.The_Last_Lecture
The Velveteen Rabbit;www.goodreads.com/book/show/144974.The_Velveteen_Rabbit
The Lovely Bones;www.goodreads.com/book/show/12232938-the-lovely-bones
The Fountainhead;www.goodreads.com/book/show/2122.The_Fountainhead
Alice in Wonderland;www.goodreads.com/book/show/13023.Alice_in_Wonderland
The Call of the Wild;www.goodreads.com/book/show/1852.The_Call_of_the_Wild
Perfume: The Story of a Murderer;www.goodreads.com/book/show/343.Perfume
The Return of the King (The Lord of the Rings, #3);www.goodreads.com/book/show/838729.The_Return_of_the_King
Animal Farm / 1984;www.goodreads.com/book/show/5472.Animal_Farm_1984
The Five People You Meet in Heaven;www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven
